"TimeGenerated [UTC]","ContainerImage_s","ContainerName_s","RevisionName_s","Log_s"
"10/18/2025, 10:54:08.622 PM","mcr.microsoft.com/k8se/metadata-init:1.0.20-m","metadata-check","ca-api-a-riff-in-react--0000005","{""level"":""info"",""ts"":""2025-10-18T22:54:07.363650645Z"",""caller"":""logging/log.go:101"",""msg"":""Tracing is disabled, defaulting to no-op exporter""}"
"10/18/2025, 10:54:08.622 PM","mcr.microsoft.com/k8se/metadata-init:1.0.20-m","metadata-check","ca-api-a-riff-in-react--0000005","{""level"":""info"",""ts"":""2025-10-18T22:54:07.374380466Z"",""logger"":""setup"",""caller"":""metadata-init/main.go:94"",""msg"":""Metadata endpoint is reachable"",""StatusCode"":200,""RetryInterval"":0.4}"
"10/18/2025, 10:54:08.622 PM","mcr.microsoft.com/k8se/metadata-init:1.0.20-m","metadata-check","ca-api-a-riff-in-react--0000005","{""level"":""info"",""ts"":""2025-10-18T22:54:08.275614977Z"",""logger"":""setup"",""caller"":""metadata-init/main.go:87"",""msg"":""Metadata endpoint is unreachable (error: Get \""http://169.254.169.254/metadata/instance?api-version=2021-01-01\"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)). Proceeding.""}"
"10/18/2025, 10:54:20.599 PM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000005","Server running on port 8080"
"10/18/2025, 10:54:20.599 PM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000005","Auth strategy: JWT"
"10/18/2025, 11:25:03.768 PM","mcr.microsoft.com/k8se/metadata-init:1.0.20-m","metadata-check","ca-api-a-riff-in-react--0000005","{""level"":""info"",""ts"":""2025-10-18T23:25:01.860080848Z"",""caller"":""logging/log.go:101"",""msg"":""Tracing is disabled, defaulting to no-op exporter""}"
"10/18/2025, 11:25:03.768 PM","mcr.microsoft.com/k8se/metadata-init:1.0.20-m","metadata-check","ca-api-a-riff-in-react--0000005","{""level"":""info"",""ts"":""2025-10-18T23:25:01.871288806Z"",""logger"":""setup"",""caller"":""metadata-init/main.go:94"",""msg"":""Metadata endpoint is reachable"",""StatusCode"":200,""RetryInterval"":0.4}"
"10/18/2025, 11:25:03.768 PM","mcr.microsoft.com/k8se/metadata-init:1.0.20-m","metadata-check","ca-api-a-riff-in-react--0000005","{""level"":""info"",""ts"":""2025-10-18T23:25:02.283300367Z"",""logger"":""setup"",""caller"":""metadata-init/main.go:94"",""msg"":""Metadata endpoint is reachable"",""StatusCode"":200,""RetryInterval"":0.4}"
"10/18/2025, 11:25:03.768 PM","mcr.microsoft.com/k8se/metadata-init:1.0.20-m","metadata-check","ca-api-a-riff-in-react--0000005","{""level"":""info"",""ts"":""2025-10-18T23:25:03.184630561Z"",""logger"":""setup"",""caller"":""metadata-init/main.go:87"",""msg"":""Metadata endpoint is unreachable (error: Get \""http://169.254.169.254/metadata/instance?api-version=2021-01-01\"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)). Proceeding.""}"
"10/18/2025, 11:25:15.589 PM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000005","Server running on port 8080"
"10/18/2025, 11:25:15.589 PM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000005","Auth strategy: JWT"
"10/19/2025, 12:02:02.626 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","Error fetching counter: Error: invalid input: input is not string"
"10/19/2025, 12:02:02.626 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at trimSlashFromLeftAndRight (/app/node_modules/@azure/cosmos/dist/commonjs/common/helper.js:260:15)"
"10/19/2025, 12:02:02.626 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at createDocumentUri (/app/node_modules/@azure/cosmos/dist/commonjs/common/uriFactory.js:76:60)"
"10/19/2025, 12:02:02.626 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at get url [as url] (/app/node_modules/@azure/cosmos/dist/commonjs/client/Item/Item.js:26:49)"
